schema_version,run_id,ts_start,ts_end,block,scenario,mode,rep,is_warmup,side_experiment,harness_git_sha,harness_git_dirty,llamacpp_tag,llamacpp_sha,model_name,model_sha256,doc_label,doc_tokens,question_id,full_prompt_tokens,new_input_tokens,ctx_size,n_slots,ngl,cache_type_k,cache_type_v,flash_attn,swa_full,cache_reuse_n,cache_ram_mib,seed,temperature,top_k,n_predict,client_ttft_s,client_total_s,server_prompt_n,server_prompt_ms,server_predicted_n,server_predicted_ms,server_prompt_tok_s,server_predicted_tok_s,tokens_cached,tokens_evaluated,server_timings_json,reuse_assert,reuse_bool,probe_result,probe_baseline_sha,probe_restored_sha,save_point,page_cache_state,save_file,save_bytes,save_ms,n_saved,restore_ms,restore_bytes,n_restored,save_build_tag,restore_build_tag,save_flags_json,outcome,kv_total_mib,kv_k_type,kv_v_type,compute_buffer_mtl_mib,model_buffer_mtl_mib,projected_device_mib,rss_peak_mb,rss_mean_mb,rss_n,free_disk_gb_start,gen_content_sha256,gen_tokens_sha256,server_log,verbosity,resume_total_ms
1.1,20260705T164843_A2_8k,2026-07-05T16:49:03,2026-07-05T16:49:44,A2,supervised_interleaved,cold,1,0,0,ce3bb065d52080cc7bf099457bc8a733ef7f475d,0,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,8k,8192,q1,8220,28,9216,1,99,f16,f16,on,0,,0,42,0,1,64,19.1475,20.5902,8221,19136.409,64,1442.154,429.59993173222836,44.37806225964772,8284,8221,"{""cache_n"":0,""prompt_n"":8221,""prompt_ms"":19136.409,""prompt_per_token_ms"":2.327747111057049,""prompt_per_second"":429.59993173222836,""predicted_n"":64,""predicted_ms"":1442.154,""predicted_per_token_ms"":22.53365625,""predicted_per_second"":44.37806225964772}",,,,,,doc_prefill,n/a,supervised_8k.bin,1074004780,,,,,,b9871,b9871,,,,,,,,,,,,215.6,5e500f3367245c68310cae3432ffbabf8201756bc9d897520296b5a0565aecd5,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,results/raw/20260705T164843_A2_8k.log,default; ambient=n/a,
1.1,20260705T164843_A2_8k,2026-07-05T16:49:03,2026-07-05T16:49:46,A2,supervised_interleaved,disk_restore,1,0,0,ce3bb065d52080cc7bf099457bc8a733ef7f475d,0,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,8k,8192,q1,8220,28,9216,1,99,f16,f16,on,0,,0,42,0,1,64,0.1281,1.5694,28,120.24,64,1440.586,232.86759813705922,44.42636538186544,8284,8221,"{""cache_n"":8193,""prompt_n"":28,""prompt_ms"":120.24,""prompt_per_token_ms"":4.2942857142857145,""prompt_per_second"":232.86759813705922,""predicted_n"":64,""predicted_ms"":1440.586,""predicted_per_token_ms"":22.50915625,""predicted_per_second"":44.42636538186544}",PASS,True,PASS,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,doc_prefill,warm_read,supervised_8k.bin,1074004780,,,133.807,1074004780,8193,b9871,b9871,,WORKS,,,,,,,,,,215.6,5e500f3367245c68310cae3432ffbabf8201756bc9d897520296b5a0565aecd5,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,results/raw/20260705T164843_A2_8k.log,default; ambient=n/a,261.9
1.1,20260705T164843_A2_8k,2026-07-05T16:49:03,2026-07-05T16:50:07,A2,supervised_interleaved,cold,2,0,0,ce3bb065d52080cc7bf099457bc8a733ef7f475d,0,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,8k,8192,q1,8220,28,9216,1,99,f16,f16,on,0,,0,42,0,1,64,19.133,20.5743,8221,19125.403,64,1440.787,429.84715145610267,44.42016758896353,8284,8221,"{""cache_n"":0,""prompt_n"":8221,""prompt_ms"":19125.403,""prompt_per_token_ms"":2.326408344483639,""prompt_per_second"":429.84715145610267,""predicted_n"":64,""predicted_ms"":1440.787,""predicted_per_token_ms"":22.512296875,""predicted_per_second"":44.42016758896353}",,,,,,doc_prefill,n/a,supervised_8k.bin,1074004780,,,,,,b9871,b9871,,,,,,,,,,,,215.6,5e500f3367245c68310cae3432ffbabf8201756bc9d897520296b5a0565aecd5,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,results/raw/20260705T164843_A2_8k.log,default; ambient=n/a,
1.1,20260705T164843_A2_8k,2026-07-05T16:49:03,2026-07-05T16:50:08,A2,supervised_interleaved,disk_restore,2,0,0,ce3bb065d52080cc7bf099457bc8a733ef7f475d,0,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,8k,8192,q1,8220,28,9216,1,99,f16,f16,on,0,,0,42,0,1,64,0.121,1.5638,28,113.167,64,1442.185,247.42195162900848,44.377108346016634,8284,8221,"{""cache_n"":8193,""prompt_n"":28,""prompt_ms"":113.167,""prompt_per_token_ms"":4.041678571428571,""prompt_per_second"":247.42195162900848,""predicted_n"":64,""predicted_ms"":1442.185,""predicted_per_token_ms"":22.534140625,""predicted_per_second"":44.377108346016634}",PASS,True,PASS,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,doc_prefill,warm_read,supervised_8k.bin,1074004780,,,133.39,1074004780,8193,b9871,b9871,,WORKS,,,,,,,,,,215.6,5e500f3367245c68310cae3432ffbabf8201756bc9d897520296b5a0565aecd5,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,results/raw/20260705T164843_A2_8k.log,default; ambient=n/a,254.4
1.1,20260705T164843_A2_8k,2026-07-05T16:49:03,2026-07-05T16:50:29,A2,supervised_interleaved,cold,3,0,0,ce3bb065d52080cc7bf099457bc8a733ef7f475d,0,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,8k,8192,q1,8220,28,9216,1,99,f16,f16,on,0,,0,42,0,1,64,18.9371,20.4607,8221,18929.79,64,1523.087,434.28902275196924,42.01992400959367,8284,8221,"{""cache_n"":0,""prompt_n"":8221,""prompt_ms"":18929.79,""prompt_per_token_ms"":2.3026140372217494,""prompt_per_second"":434.28902275196924,""predicted_n"":64,""predicted_ms"":1523.087,""predicted_per_token_ms"":23.798234375,""predicted_per_second"":42.01992400959367}",,,,,,doc_prefill,n/a,supervised_8k.bin,1074004780,,,,,,b9871,b9871,,,,,,,,,,,,215.6,5e500f3367245c68310cae3432ffbabf8201756bc9d897520296b5a0565aecd5,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,results/raw/20260705T164843_A2_8k.log,default; ambient=n/a,
1.1,20260705T164843_A2_8k,2026-07-05T16:49:03,2026-07-05T16:50:31,A2,supervised_interleaved,disk_restore,3,0,0,ce3bb065d52080cc7bf099457bc8a733ef7f475d,0,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,8k,8192,q1,8220,28,9216,1,99,f16,f16,on,0,,0,42,0,1,64,0.1261,1.5955,28,115.488,64,1468.714,242.4494319756165,43.575536149311574,8284,8221,"{""cache_n"":8193,""prompt_n"":28,""prompt_ms"":115.488,""prompt_per_token_ms"":4.1245714285714286,""prompt_per_second"":242.4494319756165,""predicted_n"":64,""predicted_ms"":1468.714,""predicted_per_token_ms"":22.94865625,""predicted_per_second"":43.575536149311574}",PASS,True,PASS,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,doc_prefill,warm_read,supervised_8k.bin,1074004780,,,149.489,1074004780,8193,b9871,b9871,,WORKS,,,,,,,,,,215.6,5e500f3367245c68310cae3432ffbabf8201756bc9d897520296b5a0565aecd5,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,results/raw/20260705T164843_A2_8k.log,default; ambient=n/a,275.6
1.1,20260705T164843_A2_8k,2026-07-05T16:49:03,2026-07-05T16:50:51,A2,supervised_interleaved,cold,4,0,0,ce3bb065d52080cc7bf099457bc8a733ef7f475d,0,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,8k,8192,q1,8220,28,9216,1,99,f16,f16,on,0,,0,42,0,1,64,18.856,20.3692,8221,18847.347,64,1512.571,436.18871133427956,42.312063367603905,8284,8221,"{""cache_n"":0,""prompt_n"":8221,""prompt_ms"":18847.347,""prompt_per_token_ms"":2.292585695170904,""prompt_per_second"":436.18871133427956,""predicted_n"":64,""predicted_ms"":1512.571,""predicted_per_token_ms"":23.633921875,""predicted_per_second"":42.312063367603905}",,,,,,doc_prefill,n/a,supervised_8k.bin,1074004780,,,,,,b9871,b9871,,,,,,,,,,,,215.6,5e500f3367245c68310cae3432ffbabf8201756bc9d897520296b5a0565aecd5,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,results/raw/20260705T164843_A2_8k.log,default; ambient=n/a,
1.1,20260705T164843_A2_8k,2026-07-05T16:49:03,2026-07-05T16:50:53,A2,supervised_interleaved,disk_restore,4,0,0,ce3bb065d52080cc7bf099457bc8a733ef7f475d,0,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,8k,8192,q1,8220,28,9216,1,99,f16,f16,on,0,,0,42,0,1,64,0.123,1.6005,28,115.196,64,1476.625,243.0639952776138,43.34208075848641,8284,8221,"{""cache_n"":8193,""prompt_n"":28,""prompt_ms"":115.196,""prompt_per_token_ms"":4.114142857142857,""prompt_per_second"":243.0639952776138,""predicted_n"":64,""predicted_ms"":1476.625,""predicted_per_token_ms"":23.072265625,""predicted_per_second"":43.34208075848641}",PASS,True,PASS,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,doc_prefill,warm_read,supervised_8k.bin,1074004780,,,160.327,1074004780,8193,b9871,b9871,,WORKS,,,,,,,,,,215.6,5e500f3367245c68310cae3432ffbabf8201756bc9d897520296b5a0565aecd5,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,results/raw/20260705T164843_A2_8k.log,default; ambient=n/a,283.3
1.1,20260705T164843_A2_8k,2026-07-05T16:49:03,2026-07-05T16:51:13,A2,supervised_interleaved,cold,5,0,0,ce3bb065d52080cc7bf099457bc8a733ef7f475d,0,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,8k,8192,q1,8220,28,9216,1,99,f16,f16,on,0,,0,42,0,1,64,18.9953,20.5152,8221,18986.154,64,1519.337,432.9997533992403,42.12363682316695,8284,8221,"{""cache_n"":0,""prompt_n"":8221,""prompt_ms"":18986.154,""prompt_per_token_ms"":2.3094701374528643,""prompt_per_second"":432.9997533992403,""predicted_n"":64,""predicted_ms"":1519.337,""predicted_per_token_ms"":23.739640625,""predicted_per_second"":42.12363682316695}",,,,,,doc_prefill,n/a,supervised_8k.bin,1074004780,,,,,,b9871,b9871,,,,,,,,,,,,215.6,5e500f3367245c68310cae3432ffbabf8201756bc9d897520296b5a0565aecd5,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,results/raw/20260705T164843_A2_8k.log,default; ambient=n/a,
1.1,20260705T164843_A2_8k,2026-07-05T16:49:03,2026-07-05T16:51:15,A2,supervised_interleaved,disk_restore,5,0,0,ce3bb065d52080cc7bf099457bc8a733ef7f475d,0,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,8k,8192,q1,8220,28,9216,1,99,f16,f16,on,0,,0,42,0,1,64,0.1233,1.5949,28,115.567,64,1470.837,242.2836969030952,43.51263940191877,8284,8221,"{""cache_n"":8193,""prompt_n"":28,""prompt_ms"":115.567,""prompt_per_token_ms"":4.127392857142857,""prompt_per_second"":242.2836969030952,""predicted_n"":64,""predicted_ms"":1470.837,""predicted_per_token_ms"":22.981828125,""predicted_per_second"":43.51263940191877}",PASS,True,PASS,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,doc_prefill,warm_read,supervised_8k.bin,1074004780,,,143.017,1074004780,8193,b9871,b9871,,WORKS,,,,,,,,,,215.6,5e500f3367245c68310cae3432ffbabf8201756bc9d897520296b5a0565aecd5,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,results/raw/20260705T164843_A2_8k.log,default; ambient=n/a,266.3
