schema_version,run_id,ts_start,ts_end,block,scenario,mode,rep,is_warmup,side_experiment,harness_git_sha,harness_git_dirty,llamacpp_tag,llamacpp_sha,model_name,model_sha256,doc_label,doc_tokens,question_id,full_prompt_tokens,new_input_tokens,ctx_size,n_slots,ngl,cache_type_k,cache_type_v,flash_attn,swa_full,cache_reuse_n,cache_ram_mib,seed,temperature,top_k,n_predict,client_ttft_s,client_total_s,server_prompt_n,server_prompt_ms,server_predicted_n,server_predicted_ms,server_prompt_tok_s,server_predicted_tok_s,tokens_cached,tokens_evaluated,server_timings_json,reuse_assert,reuse_bool,probe_result,probe_baseline_sha,probe_restored_sha,save_point,page_cache_state,save_file,save_bytes,save_ms,n_saved,restore_ms,restore_bytes,n_restored,save_build_tag,restore_build_tag,save_flags_json,outcome,kv_total_mib,kv_k_type,kv_v_type,compute_buffer_mtl_mib,model_buffer_mtl_mib,projected_device_mib,rss_peak_mb,rss_mean_mb,rss_n,free_disk_gb_start,gen_content_sha256,gen_tokens_sha256,server_log,verbosity,resume_total_ms
1.1,20260705T081245_blockC_32k,2026-07-05T08:19:13,2026-07-05T08:19:13,C,blockC,cold,1,0,0,8578379b0aa863c6df1fe420c81d7f9b56568a9f,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,32k,32768,q1,32795,27,33792,1,99,q8_0,q8_0,on,0,,0,42,0,1,64,188.0581,191.8237,32796,188037.081,64,3763.148,174.41240751870637,17.007037724798494,32859,32796,"{""cache_n"":0,""prompt_n"":32796,""prompt_ms"":188037.081,""prompt_per_token_ms"":5.733537047200878,""prompt_per_second"":174.41240751870637,""predicted_n"":64,""predicted_ms"":3763.148,""predicted_per_token_ms"":58.7991875,""predicted_per_second"":17.007037724798494}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,2244.0,q8_0,q8_0,141.09,0.0,6788,7150.9,7145.3,1927,222.9,a6c59e3b3e7a0ae97461c5846c8d5412167a1fa8c6538179a14eacb46959e011,25a1e9a262a8ef9029a13807934648e3bbb063a21291d44e3b5fb40ad90761b8,results/raw/20260705T081245_blockC_32k_cold.log,default(timed)/5(profile),
1.1,20260705T081245_blockC_32k,2026-07-05T08:22:31,2026-07-05T08:22:31,C,blockC,cold,2,0,0,8578379b0aa863c6df1fe420c81d7f9b56568a9f,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,32k,32768,q1,32795,27,33792,1,99,q8_0,q8_0,on,0,,0,42,0,1,64,194.4282,198.4434,32796,194407.511,64,4012.611,168.69718577900005,15.949714537491923,32859,32796,"{""cache_n"":0,""prompt_n"":32796,""prompt_ms"":194407.511,""prompt_per_token_ms"":5.927781162336871,""prompt_per_second"":168.69718577900005,""predicted_n"":64,""predicted_ms"":4012.611,""predicted_per_token_ms"":62.697046875,""predicted_per_second"":15.949714537491923}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,2244.0,q8_0,q8_0,141.09,0.0,6788,7150.9,7145.3,1927,222.9,a6c59e3b3e7a0ae97461c5846c8d5412167a1fa8c6538179a14eacb46959e011,25a1e9a262a8ef9029a13807934648e3bbb063a21291d44e3b5fb40ad90761b8,results/raw/20260705T081245_blockC_32k_cold.log,default(timed)/5(profile),
1.1,20260705T081245_blockC_32k,2026-07-05T08:25:49,2026-07-05T08:25:49,C,blockC,cold,3,0,0,8578379b0aa863c6df1fe420c81d7f9b56568a9f,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,32k,32768,q1,32795,27,33792,1,99,q8_0,q8_0,on,0,,0,42,0,1,64,194.229,198.0366,32796,194208.225,64,3804.946,168.87029372726104,16.820212428770343,32859,32796,"{""cache_n"":0,""prompt_n"":32796,""prompt_ms"":194208.225,""prompt_per_token_ms"":5.921704628613246,""prompt_per_second"":168.87029372726104,""predicted_n"":64,""predicted_ms"":3804.946,""predicted_per_token_ms"":59.45228125,""predicted_per_second"":16.820212428770343}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,2244.0,q8_0,q8_0,141.09,0.0,6788,7150.9,7145.3,1927,222.9,a6c59e3b3e7a0ae97461c5846c8d5412167a1fa8c6538179a14eacb46959e011,25a1e9a262a8ef9029a13807934648e3bbb063a21291d44e3b5fb40ad90761b8,results/raw/20260705T081245_blockC_32k_cold.log,default(timed)/5(profile),
1.1,20260705T081245_blockC_32k,2026-07-05T08:29:02,2026-07-05T08:29:02,C,blockC,cold,4,0,0,8578379b0aa863c6df1fe420c81d7f9b56568a9f,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,32k,32768,q1,32795,27,33792,1,99,q8_0,q8_0,on,0,,0,42,0,1,64,188.5164,192.2612,32796,188495.6,64,3742.055,173.9881461424033,17.10290201506926,32859,32796,"{""cache_n"":0,""prompt_n"":32796,""prompt_ms"":188495.6,""prompt_per_token_ms"":5.747517989998781,""prompt_per_second"":173.9881461424033,""predicted_n"":64,""predicted_ms"":3742.055,""predicted_per_token_ms"":58.469609375,""predicted_per_second"":17.10290201506926}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,2244.0,q8_0,q8_0,141.09,0.0,6788,7150.9,7145.3,1927,222.8,a6c59e3b3e7a0ae97461c5846c8d5412167a1fa8c6538179a14eacb46959e011,25a1e9a262a8ef9029a13807934648e3bbb063a21291d44e3b5fb40ad90761b8,results/raw/20260705T081245_blockC_32k_cold.log,default(timed)/5(profile),
1.1,20260705T081245_blockC_32k,2026-07-05T08:32:12,2026-07-05T08:32:12,C,blockC,cold,5,0,0,8578379b0aa863c6df1fe420c81d7f9b56568a9f,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,32k,32768,q1,32795,27,33792,1,99,q8_0,q8_0,on,0,,0,42,0,1,64,186.5422,190.2275,32796,186521.768,64,3682.716,175.82934341475897,17.378478275272926,32859,32796,"{""cache_n"":0,""prompt_n"":32796,""prompt_ms"":186521.768,""prompt_per_token_ms"":5.68733284546896,""prompt_per_second"":175.82934341475897,""predicted_n"":64,""predicted_ms"":3682.716,""predicted_per_token_ms"":57.5424375,""predicted_per_second"":17.378478275272926}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,2244.0,q8_0,q8_0,141.09,0.0,6788,7150.9,7145.3,1927,222.8,a6c59e3b3e7a0ae97461c5846c8d5412167a1fa8c6538179a14eacb46959e011,25a1e9a262a8ef9029a13807934648e3bbb063a21291d44e3b5fb40ad90761b8,results/raw/20260705T081245_blockC_32k_cold.log,default(timed)/5(profile),
1.1,20260705T081245_blockC_32k,2026-07-05T08:35:23,2026-07-05T08:35:23,C,blockC,cold_baseline,1,0,0,8578379b0aa863c6df1fe420c81d7f9b56568a9f,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,32k,32768,q2,32801,33,33792,1,99,q8_0,q8_0,on,0,,0,42,0,1,64,187.6355,191.4672,32802,187614.786,64,3828.947,174.8369662079832,16.71477824059722,32865,32802,"{""cache_n"":0,""prompt_n"":32802,""prompt_ms"":187614.786,""prompt_per_token_ms"":5.719614230839583,""prompt_per_second"":174.8369662079832,""predicted_n"":64,""predicted_ms"":3828.947,""predicted_per_token_ms"":59.827296875,""predicted_per_second"":16.71477824059722}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,2244.0,q8_0,q8_0,141.09,0.0,6788,7150.9,7145.3,1927,222.8,0ec8a3e75063d0f9712e0fdda468fc66f4ddddf9b6b51de4e5fcf68804ac4e12,c55e02bd1a23f01a7736d71df414f0ffc28cf4d83de44c4cc8af9a5b4d4cd902,results/raw/20260705T081245_blockC_32k_cold.log,default(timed)/5(profile),
1.1,20260705T081245_blockC_32k,2026-07-05T08:38:38,2026-07-05T08:38:38,C,blockC,cold_baseline,1,0,0,8578379b0aa863c6df1fe420c81d7f9b56568a9f,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,32k,32768,q3,32797,29,33792,1,99,q8_0,q8_0,on,0,,0,42,0,1,64,192.2804,194.4097,32798,192279.785,35,2126.837,170.574353409018,16.456362194187896,32832,32798,"{""cache_n"":0,""prompt_n"":32798,""prompt_ms"":192279.785,""prompt_per_token_ms"":5.862546039392646,""prompt_per_second"":170.574353409018,""predicted_n"":35,""predicted_ms"":2126.837,""predicted_per_token_ms"":60.76677142857143,""predicted_per_second"":16.456362194187896}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,2244.0,q8_0,q8_0,141.09,0.0,6788,7150.9,7145.3,1927,222.8,176a31cc5ee32effab78f49f8a4fa236d5c41dac6a2c3369a272d0bd5c83a74d,414f8d43bdf297e2d06d5fe72f1351460ba27e0a8490612619b435c5f3f25f2d,results/raw/20260705T081245_blockC_32k_cold.log,default(timed)/5(profile),
1.1,20260705T081245_blockC_32k,2026-07-05T08:41:55,2026-07-05T08:41:55,C,blockC,cold_baseline,1,0,0,8578379b0aa863c6df1fe420c81d7f9b56568a9f,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,32k,32768,q4,32798,30,33792,1,99,q8_0,q8_0,on,0,,0,42,0,1,64,194.9003,196.9175,32799,194881.774,34,2014.679,168.3020393687508,16.876137588171613,32832,32799,"{""cache_n"":0,""prompt_n"":32799,""prompt_ms"":194881.774,""prompt_per_token_ms"":5.941698649349066,""prompt_per_second"":168.3020393687508,""predicted_n"":34,""predicted_ms"":2014.679,""predicted_per_token_ms"":59.255264705882354,""predicted_per_second"":16.876137588171613}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,2244.0,q8_0,q8_0,141.09,0.0,6788,7150.9,7145.3,1927,222.8,728f22ff0b12badf9dc4b662e43b04021b51edafd6816808fbb31d62f52f232f,1c9b164fb700ad983540735ca5c7a614dcee4bd561154a4b4d4f32f905f50895,results/raw/20260705T081245_blockC_32k_cold.log,default(timed)/5(profile),
1.1,20260705T081245_blockC_32k,2026-07-05T08:45:09,2026-07-05T08:45:09,C,blockC,cold_baseline,1,0,0,8578379b0aa863c6df1fe420c81d7f9b56568a9f,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,32k,32768,q5,32796,28,33792,1,99,q8_0,q8_0,on,0,,0,42,0,1,64,192.1282,194.5351,32797,192108.045,41,2404.422,170.7216373994124,17.051915179614895,32837,32797,"{""cache_n"":0,""prompt_n"":32797,""prompt_ms"":192108.045,""prompt_per_token_ms"":5.857488337347928,""prompt_per_second"":170.7216373994124,""predicted_n"":41,""predicted_ms"":2404.422,""predicted_per_token_ms"":58.644439024390245,""predicted_per_second"":17.051915179614895}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,2244.0,q8_0,q8_0,141.09,0.0,6788,7150.9,7145.3,1927,222.8,76446395ea0480646030062431fe83a6aca0dbe051c75ef0ee5297a0447291d4,474e5405abb49d25922e60425ae0f512ff5a6b77d723121759dde9c75555fe82,results/raw/20260705T081245_blockC_32k_cold.log,default(timed)/5(profile),
1.1,20260705T081245_blockC_32k,2026-07-05T08:48:31,2026-07-05T08:48:31,C,blockC,disk_restore,1,0,0,8578379b0aa863c6df1fe420c81d7f9b56568a9f,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,32k,32768,q1,32795,27,33792,1,99,q8_0,q8_0,on,0,,0,42,0,1,64,0.31,4.1203,28,292.149,64,3807.796,95.84150553313549,16.807623097455853,32859,32796,"{""cache_n"":32768,""prompt_n"":28,""prompt_ms"":292.149,""prompt_per_token_ms"":10.433892857142856,""prompt_per_second"":95.84150553313549,""predicted_n"":64,""predicted_ms"":3807.796,""predicted_per_token_ms"":59.4968125,""predicted_per_second"":16.807623097455853}",PASS,True,PASS,25a1e9a262a8ef9029a13807934648e3bbb063a21291d44e3b5fb40ad90761b8,25a1e9a262a8ef9029a13807934648e3bbb063a21291d44e3b5fb40ad90761b8,doc_prefill,warm_read,blkC_32k_q8_0.bin,2282296108,441.27,32769,335.735,2282296108,32769,b9871,b9871,,WORKS,2244.0,q8_0,q8_0,141.09,0.0,6788,7100.8,7097.7,22,220.6,a6c59e3b3e7a0ae97461c5846c8d5412167a1fa8c6538179a14eacb46959e011,25a1e9a262a8ef9029a13807934648e3bbb063a21291d44e3b5fb40ad90761b8,results/raw/20260705T081245_blockC_32k_restore.log,default(timed)/5(profile),645.7
