schema_version,run_id,ts_start,ts_end,block,scenario,mode,rep,is_warmup,side_experiment,harness_git_sha,harness_git_dirty,llamacpp_tag,llamacpp_sha,model_name,model_sha256,doc_label,doc_tokens,question_id,full_prompt_tokens,new_input_tokens,ctx_size,n_slots,ngl,cache_type_k,cache_type_v,flash_attn,swa_full,cache_reuse_n,cache_ram_mib,seed,temperature,top_k,n_predict,client_ttft_s,client_total_s,server_prompt_n,server_prompt_ms,server_predicted_n,server_predicted_ms,server_prompt_tok_s,server_predicted_tok_s,tokens_cached,tokens_evaluated,server_timings_json,reuse_assert,reuse_bool,probe_result,probe_baseline_sha,probe_restored_sha,save_point,page_cache_state,save_file,save_bytes,save_ms,n_saved,restore_ms,restore_bytes,n_restored,save_build_tag,restore_build_tag,save_flags_json,outcome,kv_total_mib,kv_k_type,kv_v_type,compute_buffer_mtl_mib,model_buffer_mtl_mib,projected_device_mib,rss_peak_mb,rss_mean_mb,rss_n,free_disk_gb_start,gen_content_sha256,gen_tokens_sha256,server_log,verbosity,resume_total_ms
1.1,20260705T072917_blockC_8k,2026-07-05T07:30:05,2026-07-05T07:30:05,C,blockC,cold,1,0,0,8578379b0aa863c6df1fe420c81d7f9b56568a9f,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,8k,8192,q1,8220,28,9216,1,99,f16,f16,on,0,,0,42,0,1,64,21.5352,23.5024,8221,21524.809,64,1966.54,381.9313797395368,32.5444689657978,8284,8221,"{""cache_n"":0,""prompt_n"":8221,""prompt_ms"":21524.809,""prompt_per_token_ms"":2.6182713781778375,""prompt_per_second"":381.9313797395368,""predicted_n"":64,""predicted_ms"":1966.54,""predicted_per_token_ms"":30.7271875,""predicted_per_second"":32.5444689657978}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,1152.0,f16,f16,109.01,0.0,5664,5994.6,5993.6,251,222.9,5e500f3367245c68310cae3432ffbabf8201756bc9d897520296b5a0565aecd5,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,results/raw/20260705T072917_blockC_8k_cold.log,default(timed)/5(profile),
1.1,20260705T072917_blockC_8k,2026-07-05T07:30:29,2026-07-05T07:30:29,C,blockC,cold,2,0,0,8578379b0aa863c6df1fe420c81d7f9b56568a9f,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,8k,8192,q1,8220,28,9216,1,99,f16,f16,on,0,,0,42,0,1,64,22.4976,24.6126,8221,22487.64,64,2114.562,365.57860228996907,30.26631519908142,8284,8221,"{""cache_n"":0,""prompt_n"":8221,""prompt_ms"":22487.64,""prompt_per_token_ms"":2.735389855248753,""prompt_per_second"":365.57860228996907,""predicted_n"":64,""predicted_ms"":2114.562,""predicted_per_token_ms"":33.04003125,""predicted_per_second"":30.26631519908142}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,1152.0,f16,f16,109.01,0.0,5664,5994.6,5993.6,251,222.9,5e500f3367245c68310cae3432ffbabf8201756bc9d897520296b5a0565aecd5,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,results/raw/20260705T072917_blockC_8k_cold.log,default(timed)/5(profile),
1.1,20260705T072917_blockC_8k,2026-07-05T07:30:55,2026-07-05T07:30:55,C,blockC,cold,3,0,0,8578379b0aa863c6df1fe420c81d7f9b56568a9f,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,8k,8192,q1,8220,28,9216,1,99,f16,f16,on,0,,0,42,0,1,64,23.5342,25.7458,8221,23525.114,64,2210.79,349.45632994594627,28.948927758855433,8284,8221,"{""cache_n"":0,""prompt_n"":8221,""prompt_ms"":23525.114,""prompt_per_token_ms"":2.8615878846855614,""prompt_per_second"":349.45632994594627,""predicted_n"":64,""predicted_ms"":2210.79,""predicted_per_token_ms"":34.54359375,""predicted_per_second"":28.948927758855433}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,1152.0,f16,f16,109.01,0.0,5664,5994.6,5993.6,251,222.9,5e500f3367245c68310cae3432ffbabf8201756bc9d897520296b5a0565aecd5,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,results/raw/20260705T072917_blockC_8k_cold.log,default(timed)/5(profile),
1.1,20260705T072917_blockC_8k,2026-07-05T07:31:22,2026-07-05T07:31:22,C,blockC,cold,4,0,0,8578379b0aa863c6df1fe420c81d7f9b56568a9f,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,8k,8192,q1,8220,28,9216,1,99,f16,f16,on,0,,0,42,0,1,64,24.2509,26.5315,8221,24241.714,64,2279.84,339.1261855494211,28.07214541371324,8284,8221,"{""cache_n"":0,""prompt_n"":8221,""prompt_ms"":24241.714,""prompt_per_token_ms"":2.9487548959980536,""prompt_per_second"":339.1261855494211,""predicted_n"":64,""predicted_ms"":2279.84,""predicted_per_token_ms"":35.6225,""predicted_per_second"":28.07214541371324}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,1152.0,f16,f16,109.01,0.0,5664,5994.6,5993.6,251,222.9,5e500f3367245c68310cae3432ffbabf8201756bc9d897520296b5a0565aecd5,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,results/raw/20260705T072917_blockC_8k_cold.log,default(timed)/5(profile),
1.1,20260705T072917_blockC_8k,2026-07-05T07:31:48,2026-07-05T07:31:48,C,blockC,cold,5,0,0,8578379b0aa863c6df1fe420c81d7f9b56568a9f,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,8k,8192,q1,8220,28,9216,1,99,f16,f16,on,0,,0,42,0,1,64,24.4912,26.8044,8221,24482.017,64,2312.41,335.7974957700585,27.676752824974812,8284,8221,"{""cache_n"":0,""prompt_n"":8221,""prompt_ms"":24482.017,""prompt_per_token_ms"":2.9779852815959127,""prompt_per_second"":335.7974957700585,""predicted_n"":64,""predicted_ms"":2312.41,""predicted_per_token_ms"":36.13140625,""predicted_per_second"":27.676752824974812}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,1152.0,f16,f16,109.01,0.0,5664,5994.6,5993.6,251,222.9,5e500f3367245c68310cae3432ffbabf8201756bc9d897520296b5a0565aecd5,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,results/raw/20260705T072917_blockC_8k_cold.log,default(timed)/5(profile),
1.1,20260705T072917_blockC_8k,2026-07-05T07:32:15,2026-07-05T07:32:15,C,blockC,cold_baseline,1,0,0,8578379b0aa863c6df1fe420c81d7f9b56568a9f,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,8k,8192,q2,8226,34,9216,1,99,f16,f16,on,0,,0,42,0,1,64,24.5521,26.8425,8227,24542.989,64,2289.65,335.20774507131136,27.951870373201142,8290,8227,"{""cache_n"":0,""prompt_n"":8227,""prompt_ms"":24542.989,""prompt_per_token_ms"":2.983224626230704,""prompt_per_second"":335.20774507131136,""predicted_n"":64,""predicted_ms"":2289.65,""predicted_per_token_ms"":35.77578125,""predicted_per_second"":27.951870373201142}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,1152.0,f16,f16,109.01,0.0,5664,5994.6,5993.6,251,222.9,02e14bf7b1d8bbed27856be2301256fdbb2d883c42a36ede23644813fe65ae19,814c4f42b5af80977b91b3ca3b32c926aa12de73a071a7bb08d956eb422793e1,results/raw/20260705T072917_blockC_8k_cold.log,default(timed)/5(profile),
1.1,20260705T072917_blockC_8k,2026-07-05T07:32:40,2026-07-05T07:32:40,C,blockC,cold_baseline,1,0,0,8578379b0aa863c6df1fe420c81d7f9b56568a9f,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,8k,8192,q3,8222,30,9216,1,99,f16,f16,on,0,,0,42,0,1,64,24.2096,24.7589,8223,24197.776,19,548.471,339.82461859304755,34.64175863445834,8241,8223,"{""cache_n"":0,""prompt_n"":8223,""prompt_ms"":24197.776,""prompt_per_token_ms"":2.942694393773562,""prompt_per_second"":339.82461859304755,""predicted_n"":19,""predicted_ms"":548.471,""predicted_per_token_ms"":28.866894736842106,""predicted_per_second"":34.64175863445834}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,1152.0,f16,f16,109.01,0.0,5664,5994.6,5993.6,251,222.9,ba70c2f367cf60be3a397c63ebabedb70cf154208eb58b599e2df37ff5191dfc,70ca058f7215efca7b04ac98b00022189b1b6b032e1a781bac23f125aa159fc4,results/raw/20260705T072917_blockC_8k_cold.log,default(timed)/5(profile),
1.1,20260705T072917_blockC_8k,2026-07-05T07:33:06,2026-07-05T07:33:06,C,blockC,cold_baseline,1,0,0,8578379b0aa863c6df1fe420c81d7f9b56568a9f,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,8k,8192,q4,8223,31,9216,1,99,f16,f16,on,0,,0,42,0,1,64,23.8152,25.9852,8224,23805.988,64,2169.33,345.4593020881973,29.502196530726078,8287,8224,"{""cache_n"":0,""prompt_n"":8224,""prompt_ms"":23805.988,""prompt_per_token_ms"":2.894696984435798,""prompt_per_second"":345.4593020881973,""predicted_n"":64,""predicted_ms"":2169.33,""predicted_per_token_ms"":33.89578125,""predicted_per_second"":29.502196530726078}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,1152.0,f16,f16,109.01,0.0,5664,5994.6,5993.6,251,222.9,a0b1269d803a184a299bbf69aea99f28c84b3703efe06e0b67c5b784a0e1dd5f,dfd6b258e7309f2503bbec13a6b726624e5f3e7a2c94f327ed10928a5712441b,results/raw/20260705T072917_blockC_8k_cold.log,default(timed)/5(profile),
1.1,20260705T072917_blockC_8k,2026-07-05T07:33:31,2026-07-05T07:33:31,C,blockC,cold_baseline,1,0,0,8578379b0aa863c6df1fe420c81d7f9b56568a9f,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,8k,8192,q5,8221,29,9216,1,99,f16,f16,on,0,,0,42,0,1,64,23.3961,25.3401,8222,23387.016,59,1943.131,351.56259353480584,30.363367163613777,8280,8222,"{""cache_n"":0,""prompt_n"":8222,""prompt_ms"":23387.016,""prompt_per_token_ms"":2.8444436876672343,""prompt_per_second"":351.56259353480584,""predicted_n"":59,""predicted_ms"":1943.131,""predicted_per_token_ms"":32.93442372881356,""predicted_per_second"":30.363367163613777}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,1152.0,f16,f16,109.01,0.0,5664,5994.6,5993.6,251,222.9,eb623d3304d7f7a3ab938a23518d36c8c56876497845f4dc5c4b463a1ffba4f9,a222a3b082f8335246a359e02a5d9d6e60c2eb17a75ccb92e23f7028cc0c778b,results/raw/20260705T072917_blockC_8k_cold.log,default(timed)/5(profile),
1.1,20260705T072917_blockC_8k,2026-07-05T07:34:01,2026-07-05T07:34:01,C,blockC,disk_restore,1,0,0,8578379b0aa863c6df1fe420c81d7f9b56568a9f,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,8k,8192,q1,8220,28,9216,1,99,f16,f16,on,0,,0,42,0,1,64,0.1577,2.2693,28,149.82,64,2110.834,186.89093578961422,30.319769342354732,8284,8221,"{""cache_n"":8193,""prompt_n"":28,""prompt_ms"":149.82,""prompt_per_token_ms"":5.350714285714285,""prompt_per_second"":186.89093578961422,""predicted_n"":64,""predicted_ms"":2110.834,""predicted_per_token_ms"":32.98178125,""predicted_per_second"":30.319769342354732}",PASS,True,PASS,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,doc_prefill,warm_read,blkC_8k_f16.bin,1074004780,185.123,8193,154.95,1074004780,8193,b9871,b9871,,WORKS,1152.0,f16,f16,109.01,0.0,5664,5981.2,5978.8,13,221.8,5e500f3367245c68310cae3432ffbabf8201756bc9d897520296b5a0565aecd5,f1aae4134eee0e8c284d642bfb5d2ce07ca6b486fd4b5b05eeac2f476a4e6ec6,results/raw/20260705T072917_blockC_8k_restore.log,default(timed)/5(profile),312.6
