schema_version,run_id,ts_start,ts_end,block,scenario,mode,rep,is_warmup,side_experiment,harness_git_sha,harness_git_dirty,llamacpp_tag,llamacpp_sha,model_name,model_sha256,doc_label,doc_tokens,question_id,full_prompt_tokens,new_input_tokens,ctx_size,n_slots,ngl,cache_type_k,cache_type_v,flash_attn,swa_full,cache_reuse_n,cache_ram_mib,seed,temperature,top_k,n_predict,client_ttft_s,client_total_s,server_prompt_n,server_prompt_ms,server_predicted_n,server_predicted_ms,server_prompt_tok_s,server_predicted_tok_s,tokens_cached,tokens_evaluated,server_timings_json,reuse_assert,reuse_bool,probe_result,probe_baseline_sha,probe_restored_sha,save_point,page_cache_state,save_file,save_bytes,save_ms,n_saved,restore_ms,restore_bytes,n_restored,save_build_tag,restore_build_tag,save_flags_json,outcome,kv_total_mib,kv_k_type,kv_v_type,compute_buffer_mtl_mib,model_buffer_mtl_mib,projected_device_mib,rss_peak_mb,rss_mean_mb,rss_n,free_disk_gb_start,gen_content_sha256,gen_tokens_sha256,server_log,verbosity,resume_total_ms
1.1,20260705T092812_D_d2_keep_f16,2026-07-05T09:28:35,2026-07-05T09:28:35,D,D_d2_keep_f16,cold_baseline,1,0,0,5322d1040efe8424b0f054d071c4032b580da01d,0,b9871,,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,prompt_8k_phase0.txt,8845,d,8877,32,16384,1,99,f16,f16,on,0,,0,42,0,1,64,19.0825,20.6723,8878,19074.421,64,1589.206,465.4400781025018,40.27168284036179,8941,8878,"{""cache_n"":0,""prompt_n"":8878,""prompt_ms"":19074.421,""prompt_per_token_ms"":2.148504280243298,""prompt_per_second"":465.4400781025018,""predicted_n"":64,""predicted_ms"":1589.206,""predicted_per_token_ms"":24.83134375,""predicted_per_second"":40.27168284036179}",,,,,,after_generation,n/a,phase0_llama_8k_f16.bin,,,,,,,gate0-b9871,b9871,{},,,,,,,,,,,222.0,58597270f57d07ad9ec8d3ef5d237f70a67a8a19db137f827552c801417fb7c2,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,results/raw/20260705T092812_D_d2_keep_f16_restore.log,default,
1.1,20260705T092812_D_d2_keep_f16,2026-07-05T09:28:35,2026-07-05T09:28:37,D,D_d2_keep_f16,d_restore,1,0,0,5322d1040efe8424b0f054d071c4032b580da01d,0,b9871,,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,prompt_8k_phase0.txt,8845,d,8877,32,16384,1,99,f16,f16,on,0,,0,42,0,1,64,0.1343,1.6933,18,127.463,64,1558.292,141.2174513388199,41.0706080760217,8941,8878,"{""cache_n"":8860,""prompt_n"":18,""prompt_ms"":127.463,""prompt_per_token_ms"":7.081277777777777,""prompt_per_second"":141.2174513388199,""predicted_n"":64,""predicted_ms"":1558.292,""predicted_per_token_ms"":24.3483125,""predicted_per_second"":41.0706080760217}",PASS,True,PASS,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,after_generation,warm_read,phase0_llama_8k_f16.bin,,,,202.154,1166028556,8895,gate0-b9871,b9871,{},WORKS,,,,,,,,,,222.0,58597270f57d07ad9ec8d3ef5d237f70a67a8a19db137f827552c801417fb7c2,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,results/raw/20260705T092812_D_d2_keep_f16_restore.log,default,336.5
1.1,20260705T092812_D_d2_keep_f16,2026-07-05T09:28:35,2026-07-05T09:28:39,D,D_d2_keep_f16,d_restore,2,0,0,5322d1040efe8424b0f054d071c4032b580da01d,0,b9871,,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,prompt_8k_phase0.txt,8845,d,8877,32,16384,1,99,f16,f16,on,0,,0,42,0,1,64,0.1352,1.6862,18,128.588,64,1550.388,139.98195788098423,41.279989267202794,8941,8878,"{""cache_n"":8860,""prompt_n"":18,""prompt_ms"":128.588,""prompt_per_token_ms"":7.143777777777777,""prompt_per_second"":139.98195788098423,""predicted_n"":64,""predicted_ms"":1550.388,""predicted_per_token_ms"":24.2248125,""predicted_per_second"":41.279989267202794}",PASS,True,PASS,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,after_generation,warm_read,phase0_llama_8k_f16.bin,,,,166.457,1166028556,8895,gate0-b9871,b9871,{},WORKS,,,,,,,,,,222.0,58597270f57d07ad9ec8d3ef5d237f70a67a8a19db137f827552c801417fb7c2,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,results/raw/20260705T092812_D_d2_keep_f16_restore.log,default,301.7
1.1,20260705T092812_D_d2_keep_f16,2026-07-05T09:28:35,2026-07-05T09:28:41,D,D_d2_keep_f16,d_restore,3,0,0,5322d1040efe8424b0f054d071c4032b580da01d,0,b9871,,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,prompt_8k_phase0.txt,8845,d,8877,32,16384,1,99,f16,f16,on,0,,0,42,0,1,64,0.1365,1.6795,18,127.226,64,1542.471,141.48051498907455,41.491865973493184,8941,8878,"{""cache_n"":8860,""prompt_n"":18,""prompt_ms"":127.226,""prompt_per_token_ms"":7.0681111111111115,""prompt_per_second"":141.48051498907455,""predicted_n"":64,""predicted_ms"":1542.471,""predicted_per_token_ms"":24.101109375,""predicted_per_second"":41.491865973493184}",PASS,True,PASS,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,after_generation,warm_read,phase0_llama_8k_f16.bin,,,,165.882,1166028556,8895,gate0-b9871,b9871,{},WORKS,,,,,,,,,,222.0,58597270f57d07ad9ec8d3ef5d237f70a67a8a19db137f827552c801417fb7c2,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,results/raw/20260705T092812_D_d2_keep_f16_restore.log,default,302.4
1.1,20260705T092812_D_d2_keep_f16,2026-07-05T09:28:35,2026-07-05T09:28:43,D,D_d2_keep_f16,d_restore,4,0,0,5322d1040efe8424b0f054d071c4032b580da01d,0,b9871,,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,prompt_8k_phase0.txt,8845,d,8877,32,16384,1,99,f16,f16,on,0,,0,42,0,1,64,0.1351,1.6853,18,128.506,64,1549.597,140.07128071841004,41.30106085646784,8941,8878,"{""cache_n"":8860,""prompt_n"":18,""prompt_ms"":128.506,""prompt_per_token_ms"":7.139222222222222,""prompt_per_second"":140.07128071841004,""predicted_n"":64,""predicted_ms"":1549.597,""predicted_per_token_ms"":24.212453125,""predicted_per_second"":41.30106085646784}",PASS,True,PASS,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,after_generation,warm_read,phase0_llama_8k_f16.bin,,,,154.23,1166028556,8895,gate0-b9871,b9871,{},WORKS,,,,,,,,,,222.0,58597270f57d07ad9ec8d3ef5d237f70a67a8a19db137f827552c801417fb7c2,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,results/raw/20260705T092812_D_d2_keep_f16_restore.log,default,289.3
1.1,20260705T092812_D_d2_keep_f16,2026-07-05T09:28:35,2026-07-05T09:28:44,D,D_d2_keep_f16,d_restore,5,0,0,5322d1040efe8424b0f054d071c4032b580da01d,0,b9871,,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,prompt_8k_phase0.txt,8845,d,8877,32,16384,1,99,f16,f16,on,0,,0,42,0,1,64,0.1354,1.6743,18,128.736,64,1538.347,139.82102908277406,41.60309735059775,8941,8878,"{""cache_n"":8860,""prompt_n"":18,""prompt_ms"":128.736,""prompt_per_token_ms"":7.151999999999999,""prompt_per_second"":139.82102908277406,""predicted_n"":64,""predicted_ms"":1538.347,""predicted_per_token_ms"":24.036671875,""predicted_per_second"":41.60309735059775}",PASS,True,PASS,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,after_generation,warm_read,phase0_llama_8k_f16.bin,,,,160.118,1166028556,8895,gate0-b9871,b9871,{},WORKS,,,,,,,,,,222.0,58597270f57d07ad9ec8d3ef5d237f70a67a8a19db137f827552c801417fb7c2,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,results/raw/20260705T092812_D_d2_keep_f16_restore.log,default,295.5
1.1,20260705T092844_D_d2_keep_q8,2026-07-05T09:29:10,2026-07-05T09:29:10,D,D_d2_keep_q8,cold_baseline,1,0,0,5322d1040efe8424b0f054d071c4032b580da01d,1,b9871,,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,prompt_8k_phase0.txt,8845,d,8877,32,16384,1,99,q8_0,q8_0,on,0,,0,42,0,1,64,22.7576,24.5104,8878,22748.803,64,1752.337,390.26229204235494,36.52265517420451,8941,8878,"{""cache_n"":0,""prompt_n"":8878,""prompt_ms"":22748.803,""prompt_per_token_ms"":2.5623792520838027,""prompt_per_second"":390.26229204235494,""predicted_n"":64,""predicted_ms"":1752.337,""predicted_per_token_ms"":27.380265625,""predicted_per_second"":36.52265517420451}",,,,,,after_generation,n/a,phase0_llama_8k_q8.bin,,,,,,,gate0-b9871,b9871,{},,,,,,,,,,,222.0,58597270f57d07ad9ec8d3ef5d237f70a67a8a19db137f827552c801417fb7c2,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,results/raw/20260705T092844_D_d2_keep_q8_restore.log,default,
1.1,20260705T092844_D_d2_keep_q8,2026-07-05T09:29:10,2026-07-05T09:29:12,D,D_d2_keep_q8,d_restore,1,0,0,5322d1040efe8424b0f054d071c4032b580da01d,1,b9871,,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,prompt_8k_phase0.txt,8845,d,8877,32,16384,1,99,q8_0,q8_0,on,0,,0,42,0,1,64,0.1781,1.9155,18,171.262,64,1736.789,105.10212423071084,36.849611553274464,8941,8878,"{""cache_n"":8860,""prompt_n"":18,""prompt_ms"":171.262,""prompt_per_token_ms"":9.514555555555555,""prompt_per_second"":105.10212423071084,""predicted_n"":64,""predicted_ms"":1736.789,""predicted_per_token_ms"":27.137328125,""predicted_per_second"":36.849611553274464}",PASS,True,PASS,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,after_generation,warm_read,phase0_llama_8k_q8.bin,,,,98.066,619519756,8895,gate0-b9871,b9871,{},WORKS,,,,,,,,,,222.0,58597270f57d07ad9ec8d3ef5d237f70a67a8a19db137f827552c801417fb7c2,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,results/raw/20260705T092844_D_d2_keep_q8_restore.log,default,276.2
1.1,20260705T092844_D_d2_keep_q8,2026-07-05T09:29:10,2026-07-05T09:29:14,D,D_d2_keep_q8,d_restore,2,0,0,5322d1040efe8424b0f054d071c4032b580da01d,1,b9871,,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,prompt_8k_phase0.txt,8845,d,8877,32,16384,1,99,q8_0,q8_0,on,0,,0,42,0,1,64,0.1785,1.9156,18,171.877,64,1736.534,104.72605409682504,36.85502270614914,8941,8878,"{""cache_n"":8860,""prompt_n"":18,""prompt_ms"":171.877,""prompt_per_token_ms"":9.548722222222223,""prompt_per_second"":104.72605409682504,""predicted_n"":64,""predicted_ms"":1736.534,""predicted_per_token_ms"":27.13334375,""predicted_per_second"":36.85502270614914}",PASS,True,PASS,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,after_generation,warm_read,phase0_llama_8k_q8.bin,,,,65.14,619519756,8895,gate0-b9871,b9871,{},WORKS,,,,,,,,,,222.0,58597270f57d07ad9ec8d3ef5d237f70a67a8a19db137f827552c801417fb7c2,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,results/raw/20260705T092844_D_d2_keep_q8_restore.log,default,243.6
1.1,20260705T092844_D_d2_keep_q8,2026-07-05T09:29:10,2026-07-05T09:29:16,D,D_d2_keep_q8,d_restore,3,0,0,5322d1040efe8424b0f054d071c4032b580da01d,1,b9871,,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,prompt_8k_phase0.txt,8845,d,8877,32,16384,1,99,q8_0,q8_0,on,0,,0,42,0,1,64,0.1789,1.9027,18,172.315,64,1723.214,104.4598554971999,37.1399025309683,8941,8878,"{""cache_n"":8860,""prompt_n"":18,""prompt_ms"":172.315,""prompt_per_token_ms"":9.573055555555555,""prompt_per_second"":104.4598554971999,""predicted_n"":64,""predicted_ms"":1723.214,""predicted_per_token_ms"":26.92521875,""predicted_per_second"":37.1399025309683}",PASS,True,PASS,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,after_generation,warm_read,phase0_llama_8k_q8.bin,,,,65.611,619519756,8895,gate0-b9871,b9871,{},WORKS,,,,,,,,,,222.0,58597270f57d07ad9ec8d3ef5d237f70a67a8a19db137f827552c801417fb7c2,bd88896d8fa44db010026c273a694b3614d3f44e79215d2a8cb698569d210a12,results/raw/20260705T092844_D_d2_keep_q8_restore.log,default,244.5
