schema_version,run_id,ts_start,ts_end,block,scenario,mode,rep,is_warmup,side_experiment,harness_git_sha,harness_git_dirty,llamacpp_tag,llamacpp_sha,model_name,model_sha256,doc_label,doc_tokens,question_id,full_prompt_tokens,new_input_tokens,ctx_size,n_slots,ngl,cache_type_k,cache_type_v,flash_attn,swa_full,cache_reuse_n,cache_ram_mib,seed,temperature,top_k,n_predict,client_ttft_s,client_total_s,server_prompt_n,server_prompt_ms,server_predicted_n,server_predicted_ms,server_prompt_tok_s,server_predicted_tok_s,tokens_cached,tokens_evaluated,server_timings_json,reuse_assert,reuse_bool,probe_result,probe_baseline_sha,probe_restored_sha,save_point,page_cache_state,save_file,save_bytes,save_ms,n_saved,restore_ms,restore_bytes,n_restored,save_build_tag,restore_build_tag,save_flags_json,outcome,kv_total_mib,kv_k_type,kv_v_type,compute_buffer_mtl_mib,model_buffer_mtl_mib,projected_device_mib,rss_peak_mb,rss_mean_mb,rss_n,free_disk_gb_start,gen_content_sha256,gen_tokens_sha256,server_log,verbosity,resume_total_ms
1.1,20260705T095746_blockE_16k,2026-07-05T09:59:10,2026-07-05T09:59:10,E,blockE,cold,1,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Qwen2.5-7B-Instruct-Q4_K_M,65b8fcd92af6b4fefa935c625d1ac27ea29dcb6ee14589c55a8f115ceaaa1423,16k,16384,q1,16440,28,17470,1,99,f16,f16,on,0,,0,42,0,1,64,40.1917,41.667,16440,40170.495,64,1474.407,409.25559916550685,43.407281707154134,16503,16440,"{""cache_n"":0,""prompt_n"":16440,""prompt_ms"":40170.495,""prompt_per_token_ms"":2.4434607664233576,""prompt_per_second"":409.25559916550685,""predicted_n"":64,""predicted_ms"":1474.407,""predicted_per_token_ms"":23.037609375,""predicted_per_second"":43.407281707154134}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,966.0,f16,f16,142.26,0.0,5276,5589.6,5583.6,470,215.8,86815d3c39e1579487f8b3254dabb058ba51dbbe7a704c3c2b828ed6e04e3544,e9de1752c7ba5cb13a461b6e27758a95d0edf933f7039b5fd12bed1632359ede,results/raw/20260705T095746_blockE_16k_cold.log,default(timed)/5(profile),
1.1,20260705T095746_blockE_16k,2026-07-05T09:59:53,2026-07-05T09:59:53,E,blockE,cold,2,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Qwen2.5-7B-Instruct-Q4_K_M,65b8fcd92af6b4fefa935c625d1ac27ea29dcb6ee14589c55a8f115ceaaa1423,16k,16384,q1,16440,28,17470,1,99,f16,f16,on,0,,0,42,0,1,64,40.5662,42.2059,16440,40547.236,64,1638.75,405.45303753873634,39.05415713196034,16503,16440,"{""cache_n"":0,""prompt_n"":16440,""prompt_ms"":40547.236,""prompt_per_token_ms"":2.4663768856447685,""prompt_per_second"":405.45303753873634,""predicted_n"":64,""predicted_ms"":1638.75,""predicted_per_token_ms"":25.60546875,""predicted_per_second"":39.05415713196034}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,966.0,f16,f16,142.26,0.0,5276,5589.6,5583.6,470,215.8,86815d3c39e1579487f8b3254dabb058ba51dbbe7a704c3c2b828ed6e04e3544,e9de1752c7ba5cb13a461b6e27758a95d0edf933f7039b5fd12bed1632359ede,results/raw/20260705T095746_blockE_16k_cold.log,default(timed)/5(profile),
1.1,20260705T095746_blockE_16k,2026-07-05T10:00:35,2026-07-05T10:00:35,E,blockE,cold,3,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Qwen2.5-7B-Instruct-Q4_K_M,65b8fcd92af6b4fefa935c625d1ac27ea29dcb6ee14589c55a8f115ceaaa1423,16k,16384,q1,16440,28,17470,1,99,f16,f16,on,0,,0,42,0,1,64,40.8235,42.5183,16440,40803.081,64,1693.925,402.910750783746,37.78207417683782,16503,16440,"{""cache_n"":0,""prompt_n"":16440,""prompt_ms"":40803.081,""prompt_per_token_ms"":2.481939233576642,""prompt_per_second"":402.910750783746,""predicted_n"":64,""predicted_ms"":1693.925,""predicted_per_token_ms"":26.467578125,""predicted_per_second"":37.78207417683782}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,966.0,f16,f16,142.26,0.0,5276,5589.6,5583.6,470,215.8,86815d3c39e1579487f8b3254dabb058ba51dbbe7a704c3c2b828ed6e04e3544,e9de1752c7ba5cb13a461b6e27758a95d0edf933f7039b5fd12bed1632359ede,results/raw/20260705T095746_blockE_16k_cold.log,default(timed)/5(profile),
1.1,20260705T095746_blockE_16k,2026-07-05T10:01:18,2026-07-05T10:01:18,E,blockE,cold,4,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Qwen2.5-7B-Instruct-Q4_K_M,65b8fcd92af6b4fefa935c625d1ac27ea29dcb6ee14589c55a8f115ceaaa1423,16k,16384,q1,16440,28,17470,1,99,f16,f16,on,0,,0,42,0,1,64,41.5203,43.2353,16440,41500.12,64,1714.151,396.14343283826645,37.33626734167527,16503,16440,"{""cache_n"":0,""prompt_n"":16440,""prompt_ms"":41500.12,""prompt_per_token_ms"":2.524338199513382,""prompt_per_second"":396.14343283826645,""predicted_n"":64,""predicted_ms"":1714.151,""predicted_per_token_ms"":26.783609375,""predicted_per_second"":37.33626734167527}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,966.0,f16,f16,142.26,0.0,5276,5589.6,5583.6,470,215.8,86815d3c39e1579487f8b3254dabb058ba51dbbe7a704c3c2b828ed6e04e3544,e9de1752c7ba5cb13a461b6e27758a95d0edf933f7039b5fd12bed1632359ede,results/raw/20260705T095746_blockE_16k_cold.log,default(timed)/5(profile),
1.1,20260705T095746_blockE_16k,2026-07-05T10:02:04,2026-07-05T10:02:04,E,blockE,cold,5,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Qwen2.5-7B-Instruct-Q4_K_M,65b8fcd92af6b4fefa935c625d1ac27ea29dcb6ee14589c55a8f115ceaaa1423,16k,16384,q1,16440,28,17470,1,99,f16,f16,on,0,,0,42,0,1,64,43.3782,45.4339,16440,43357.735,64,2054.683,379.1710983057579,31.148357191839324,16503,16440,"{""cache_n"":0,""prompt_n"":16440,""prompt_ms"":43357.735,""prompt_per_token_ms"":2.637331812652068,""prompt_per_second"":379.1710983057579,""predicted_n"":64,""predicted_ms"":2054.683,""predicted_per_token_ms"":32.104421875,""predicted_per_second"":31.148357191839324}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,966.0,f16,f16,142.26,0.0,5276,5589.6,5583.6,470,215.8,86815d3c39e1579487f8b3254dabb058ba51dbbe7a704c3c2b828ed6e04e3544,e9de1752c7ba5cb13a461b6e27758a95d0edf933f7039b5fd12bed1632359ede,results/raw/20260705T095746_blockE_16k_cold.log,default(timed)/5(profile),
1.1,20260705T095746_blockE_16k,2026-07-05T10:02:58,2026-07-05T10:02:58,E,blockE,cold_baseline,1,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Qwen2.5-7B-Instruct-Q4_K_M,65b8fcd92af6b4fefa935c625d1ac27ea29dcb6ee14589c55a8f115ceaaa1423,16k,16384,q2,16446,34,17470,1,99,f16,f16,on,0,,0,42,0,1,64,51.2234,53.9506,16446,51203.048,64,2726.047,321.191816549671,23.477218111059713,16509,16446,"{""cache_n"":0,""prompt_n"":16446,""prompt_ms"":51203.048,""prompt_per_token_ms"":3.113404353642223,""prompt_per_second"":321.191816549671,""predicted_n"":64,""predicted_ms"":2726.047,""predicted_per_token_ms"":42.594484375,""predicted_per_second"":23.477218111059713}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,966.0,f16,f16,142.26,0.0,5276,5589.6,5583.6,470,215.8,6c51555f845754a2cb17bac08195f527e7932c133b56c7005495a0668917c782,2d76d007ec0b88a33cbcb650b78d1ce26c90f8bb681f4d1acdf4595e88135141,results/raw/20260705T095746_blockE_16k_cold.log,default(timed)/5(profile),
1.1,20260705T095746_blockE_16k,2026-07-05T10:03:58,2026-07-05T10:03:58,E,blockE,cold_baseline,1,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Qwen2.5-7B-Instruct-Q4_K_M,65b8fcd92af6b4fefa935c625d1ac27ea29dcb6ee14589c55a8f115ceaaa1423,16k,16384,q3,16442,30,17470,1,99,f16,f16,on,0,,0,42,0,1,64,57.8004,60.4449,16442,57779.862,64,2643.369,284.562811866875,24.211527032359083,16505,16442,"{""cache_n"":0,""prompt_n"":16442,""prompt_ms"":57779.862,""prompt_per_token_ms"":3.514162632283177,""prompt_per_second"":284.562811866875,""predicted_n"":64,""predicted_ms"":2643.369,""predicted_per_token_ms"":41.302640625,""predicted_per_second"":24.211527032359083}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,966.0,f16,f16,142.26,0.0,5276,5589.6,5583.6,470,215.8,80a1b07698d06637b940335a21f6e6c45238b67837d6fc13f51a5d01df61c5d2,ee0b8f1069cda5c5cd197517cc2271a864489081505021150183bf28fa303e81,results/raw/20260705T095746_blockE_16k_cold.log,default(timed)/5(profile),
1.1,20260705T095746_blockE_16k,2026-07-05T10:04:52,2026-07-05T10:04:52,E,blockE,cold_baseline,1,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Qwen2.5-7B-Instruct-Q4_K_M,65b8fcd92af6b4fefa935c625d1ac27ea29dcb6ee14589c55a8f115ceaaa1423,16k,16384,q4,16443,31,17470,1,99,f16,f16,on,0,,0,42,0,1,64,51.853,54.0865,16443,51832.831,64,2232.507,317.23137021012803,28.667323327541638,16506,16443,"{""cache_n"":0,""prompt_n"":16443,""prompt_ms"":51832.831,""prompt_per_token_ms"":3.1522733686067017,""prompt_per_second"":317.23137021012803,""predicted_n"":64,""predicted_ms"":2232.507,""predicted_per_token_ms"":34.882921875,""predicted_per_second"":28.667323327541638}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,966.0,f16,f16,142.26,0.0,5276,5589.6,5583.6,470,215.8,6cdea2150ad0e85d1a6568f056b9de14f78234cbe238af5b362f9fa4f16441fe,ab677214f6d4cb5d3c4caf995cccc3cdba5a3c5d863174bd9553e4907b270bb1,results/raw/20260705T095746_blockE_16k_cold.log,default(timed)/5(profile),
1.1,20260705T095746_blockE_16k,2026-07-05T10:05:43,2026-07-05T10:05:43,E,blockE,cold_baseline,1,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Qwen2.5-7B-Instruct-Q4_K_M,65b8fcd92af6b4fefa935c625d1ac27ea29dcb6ee14589c55a8f115ceaaa1423,16k,16384,q5,16441,29,17470,1,99,f16,f16,on,0,,0,42,0,1,64,48.2862,50.3793,16441,48265.789,64,2091.984,340.63464703746996,30.592968206257794,16504,16441,"{""cache_n"":0,""prompt_n"":16441,""prompt_ms"":48265.789,""prompt_per_token_ms"":2.935696672951767,""prompt_per_second"":340.63464703746996,""predicted_n"":64,""predicted_ms"":2091.984,""predicted_per_token_ms"":32.68725,""predicted_per_second"":30.592968206257794}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,966.0,f16,f16,142.26,0.0,5276,5589.6,5583.6,470,215.8,7560d1a7b57ebf3d5eae54e8aa3f8699cc463cafb94f9c606e67e681c2239026,449b0ee59e525f4bc4573f40601c16f87c808b44a16090b347f3338fc87a3c86,results/raw/20260705T095746_blockE_16k_cold.log,default(timed)/5(profile),
1.1,20260705T095746_blockE_16k,2026-07-05T10:06:37,2026-07-05T10:06:37,E,blockE,disk_restore,1,0,0,545cd94e6777d3c40a4ad025cc3ae780d11e6ac9,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Qwen2.5-7B-Instruct-Q4_K_M,65b8fcd92af6b4fefa935c625d1ac27ea29dcb6ee14589c55a8f115ceaaa1423,16k,16384,q1,16440,28,17470,1,99,f16,f16,on,0,,0,42,0,1,64,0.1763,2.3117,28,157.215,64,2134.387,178.10005406608784,29.98519012718874,16503,16440,"{""cache_n"":16412,""prompt_n"":28,""prompt_ms"":157.215,""prompt_per_token_ms"":5.614821428571429,""prompt_per_second"":178.10005406608784,""predicted_n"":64,""predicted_ms"":2134.387,""predicted_per_token_ms"":33.349796875,""predicted_per_second"":29.98519012718874}",PASS,True,PASS,e9de1752c7ba5cb13a461b6e27758a95d0edf933f7039b5fd12bed1632359ede,e9de1752c7ba5cb13a461b6e27758a95d0edf933f7039b5fd12bed1632359ede,doc_prefill,warm_read,blkE_16k_f16.bin,941393020,307.06,16412,137.098,941393020,16412,b9871,b9871,,WORKS,966.0,f16,f16,142.26,0.0,5276,5557.1,5554.7,15,214.9,86815d3c39e1579487f8b3254dabb058ba51dbbe7a704c3c2b828ed6e04e3544,e9de1752c7ba5cb13a461b6e27758a95d0edf933f7039b5fd12bed1632359ede,results/raw/20260705T095746_blockE_16k_restore.log,default(timed)/5(profile),313.4
